Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Costa Rica,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Costa Rica,1. FIFA World Cup,GR,3,0,1,2,2,5,-3,1,Kendall Waston - 1,Keylor Navas,
2014,Costa Rica,1. FIFA World Cup,QF,5,2,3,0,5,2,3,9,Bryan Ruiz - 2,Keylor Navas,
2006,Costa Rica,1. FIFA World Cup,GR,3,0,0,3,3,9,-6,0,Paulo Wanchope - 2,José Porras,
2002,Costa Rica,1. FIFA World Cup,GR,3,1,1,1,5,6,-1,4,Rónald Gómez - 2,Erick Lonnis,
1990,Costa Rica,1. FIFA World Cup,R16,4,2,0,2,4,6,-2,4,"Rónald González Brenes, Juan Cayasso... - 1",Luis Gabelo Conejo,
