Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Australia,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Australia,1. FIFA World Cup,GR,3,0,1,2,2,5,-3,1,Mile Jedinak - 2,Mathew Ryan,
2014,Australia,1. FIFA World Cup,GR,3,0,0,3,3,9,-6,0,Tim Cahill - 2,Mathew Ryan,
2010,Australia,1. FIFA World Cup,GR,3,1,1,1,3,6,-3,4,Brett Holman - 2,Mark Schwarzer,
2006,Australia,1. FIFA World Cup,R16,4,1,1,2,5,6,-1,4,Tim Cahill - 2,Mark Schwarzer,
1974,Australia,1. FIFA World Cup,1R,3,0,1,2,0,5,-5,1,,Jack Reilly,
