player,position,team,age,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won
Mason Mount,MF,England,23,91,2,0,4,1,61,73,0,2
Mateo Kovačić,MF,Croatia,28,521,11,0,3,1,415,460,0,17
Matheus Nunes,MF,Portugal,24,39,1,0,1,0,28,33,0,0
Mathew Ryan,GK,Australia,30,176,0,0,0,0,113,164,0,0
Mathias Jensen,MF,Denmark,26,76,1,0,2,1,52,67,0,0
Mathías Olivera,DF,Uruguay,25,178,0,0,2,0,104,133,0,5
Matt Turner,GK,United States,28,137,0,0,0,0,101,128,0,0
Matthias Ginter,DF,Germany,28,3,0,0,0,0,3,3,0,0
Matthijs de Ligt,DF,Netherlands,23,49,0,0,0,0,41,45,0,0
Matty Cash,DF,Poland,25,197,1,0,1,0,123,160,0,3
Mattéo Guendouzi,FW,France,23,36,0,0,0,0,27,33,0,1
Matías Vecino,MF,Uruguay,31,130,0,0,1,1,76,106,0,3
Matías Viña,DF,Uruguay,25,26,1,0,0,0,11,21,0,3
Maxi Gómez,FW,Uruguay,26,9,0,0,2,1,5,7,0,0
Maya Yoshida,DF,Japan,34,277,1,0,0,0,198,232,1,4
Mehdi Torabi,MF,IR Iran,28,48,1,0,2,0,30,37,0,0
Meshaal Barsham,GK,Qatar,24,69,0,0,0,0,45,63,0,0
Michael Estrada,FW,Ecuador,26,71,2,0,3,0,28,50,0,0
Michał Skóraś,MF,Poland,22,12,0,0,1,0,8,9,0,0
Michel Aebischer,MF,Switzerland,25,4,0,0,0,0,2,4,0,0
Miki Yamane,DF,Japan,28,36,1,0,0,0,24,33,0,0
Mikkel Damsgaard,MF,Denmark,22,91,0,0,0,0,55,72,0,2
Milad Mohammadi,DF,IR Iran,29,90,0,0,0,0,44,68,0,3
Milan Borjan,GK,Canada,35,105,0,0,0,0,76,98,0,0
Miloš Degenek,DF,Australia,28,123,0,0,0,0,67,101,0,4
Miloš Veljković,DF,Serbia,27,127,0,0,0,0,98,112,0,1
Mohamed Ali Ben Romdhane,MF,Tunisia,23,31,1,0,0,0,14,21,0,4
Mohamed Dräger,DF,Tunisia,26,70,1,0,4,0,36,50,0,3
Mohamed Kanno,MF,Saudi Arabia,28,184,5,0,6,1,119,147,0,2
Mohammed Al-Breik,DF,Saudi Arabia,30,57,0,0,2,1,39,48,0,0
Mohammed Al-Owais,GK,Saudi Arabia,31,113,0,0,0,0,57,100,0,0
Mohammed Waad,MF,Qatar,23,16,1,0,0,0,9,12,0,0
Montassar Talbi,DF,Tunisia,24,177,0,0,1,1,118,137,0,2
Morteza Pouraliganji,DF,IR Iran,30,156,0,0,2,0,92,128,0,2
Moumi Ngamaleu,FW,Cameroon,28,34,2,0,0,0,21,25,0,1
Munir,GK,Morocco,33,31,0,0,0,0,19,28,0,0
Musab Kheder,DF,Qatar,29,5,0,0,0,0,3,3,0,1
Na Sang-ho,FW,Korea Republic,26,60,0,0,1,1,24,37,0,1
Nader Ghandri,DF,Tunisia,27,45,0,0,0,0,27,33,0,2
Nampalys Mendy,MF,Senegal,30,182,1,0,2,0,141,159,0,4
Nasser Al-Dawsari,FW,Saudi Arabia,23,13,0,0,0,0,11,11,0,1
Nathan Aké,DF,Netherlands,27,393,0,0,0,0,315,349,0,3
Nathaniel Atkinson,DF,Australia,23,43,0,0,0,0,27,34,0,3
Nawaf Al Abed,MF,Saudi Arabia,32,51,1,0,2,0,33,39,0,0
Nayef Aguerd,DF,Morocco,26,185,0,0,1,0,137,158,0,2
Naïm Sliti,MF,Tunisia,30,67,5,0,1,0,29,51,0,1
Neco Williams,DF,Wales,21,138,1,0,3,0,69,101,0,3
Nemanja Gudelj,MF,Serbia,31,59,0,0,0,0,44,52,0,2
Nemanja Maksimović,MF,Serbia,27,75,0,0,0,0,50,57,0,2
Nemanja Radonjić,DF,Serbia,26,36,0,0,2,0,15,24,0,0
Nico Elvedi,DF,Switzerland,26,165,0,0,1,0,131,142,0,0
Nico Schlotterbeck,DF,Germany,23,135,0,0,0,0,110,123,0,3
Nico Williams,FW,Spain,20,88,5,0,1,0,50,63,0,2
Nicola Zalewski,MF,Poland,20,29,0,0,0,0,15,17,0,0
Nicolas Jackson,FW,Senegal,21,11,0,0,0,0,9,10,0,0
Nicolas Nkoulou,DF,Cameroon,32,115,0,0,3,1,79,91,1,0
Nicolás De La Cruz,MF,Uruguay,25,28,0,0,1,1,20,25,0,0
Nicolás Otamendi,DF,Argentina,34,639,0,0,1,0,532,577,1,6
Nicolás Tagliafico,DF,Argentina,30,220,0,0,3,1,145,178,0,7
Niklas Süle,DF,Germany,27,268,0,0,1,0,231,255,0,4
Nikola Milenković,DF,Serbia,25,198,0,0,3,0,141,163,0,5
Nikola Vlašić,FW,Croatia,25,80,3,0,5,1,45,55,0,1
Noa Lang,MF,Netherlands,23,5,0,0,0,0,1,3,0,0
Noah Okafor,FW,Switzerland,22,29,0,0,1,0,17,22,0,0
Nouhou Tolo,DF,Cameroon,25,145,1,0,0,0,83,109,0,5
Noussair Mazraoui,DF,Morocco,25,175,1,0,4,2,98,121,0,9
Nuno Mendes,DF,Portugal,20,36,1,0,0,0,29,32,0,0
Néstor Araujo,DF,Mexico,31,62,0,0,0,0,44,53,0,1
Olivier Ntcham,MF,Cameroon,26,14,2,0,1,1,11,12,0,0
Orbelín Pineda,MF,Mexico,26,46,0,0,4,1,18,25,0,3
Otávio,MF,Portugal,27,145,0,0,3,2,98,127,0,7
Ousmane Dembélé,FW,France,25,241,9,0,8,2,144,191,2,6
Pablo Sarabia,FW,Spain,30,6,0,0,1,0,2,5,0,0
Pape Abou Cissé,DF,Senegal,27,49,1,0,0,0,28,37,0,0
Pape Gueye,MF,Senegal,23,81,0,0,4,2,45,62,0,2
Pape Matar Sarr,MF,Senegal,20,54,0,0,4,0,36,43,0,2
Papu Gómez,MF,Argentina,34,69,1,0,2,0,53,60,0,0
Pathé Ciss,MF,Senegal,28,74,1,0,1,0,46,57,0,3
Pau Torres,DF,Spain,25,194,0,0,0,0,174,191,0,0
Paulo Dybala,FW,Argentina,29,20,1,0,0,0,8,12,0,1
Pedri,MF,Spain,20,462,6,0,0,0,393,434,0,2
Pedro,FW,Brazil,25,25,0,0,4,1,10,13,0,2
Pervis Estupiñán,DF,Ecuador,24,217,2,0,1,1,148,190,0,3
Piero Hincapié,DF,Ecuador,20,227,0,0,0,0,168,200,0,4
Pierre Højbjerg,MF,Denmark,27,249,1,0,2,1,200,224,0,2
