player,position,team,age,minutes_played,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won,overall_0-100,value_(€)
L. Paredes,MF,Argentina,28,225,269,0,0,1,1,230,246,0,4,81,28000000
K. Phillips,MF,England,27,45,20,0,0,0,0,17,19,1,0,81,32500000
J. Vertonghen,DF,Belgium,35,270,290,0,0,2,0,238,269,0,0,81,8500000
I. Periic,FW,Croatia,33,666,378,6,1,16,4,202,292,3,4,81,20500000
H. Lozano,FW,Mexico,27,251,109,5,0,6,3,42,77,0,2,81,31000000
H. Herrera,MF,Mexico,32,162,91,0,0,0,0,64,78,0,3,81,21000000
S. Mandanda,GK,France,37,90,32,0,0,0,0,19,31,0,0,81,2900000
S. Berghuis,MF,Netherlands,30,198,141,1,0,5,0,97,131,1,1,81,25500000
Pedri,MF,Spain,20,360,462,6,0,0,0,393,434,0,2,81,54000000
P. Zielinski,MF,Poland,28,324,178,1,1,3,2,124,153,0,5,81,29500000
A. Milik,FW,Poland,28,99,39,1,0,1,0,19,29,0,0,81,30000000
N. Otamendi,DF,Argentina,34,693,639,0,0,1,0,532,577,1,6,81,12500000
Otávio,MF,Portugal,27,198,145,0,0,3,2,98,127,0,7,81,30500000
Danilo,DF,Brazil,31,279,289,1,0,2,0,230,269,0,2,81,22500000
A. Rabiot,MF,France,27,486,350,2,1,9,4,237,284,1,9,81,30000000
T. Delaney,MF,Denmark,31,45,31,0,0,0,0,24,29,0,1,81,22000000
G. Ochoa,GK,Mexico,37,270,112,0,0,0,0,93,109,0,0,80,2300000
B. Saka,FW,England,21,288,147,2,3,7,5,84,108,0,4,80,45500000
N. Mazraoui,DF,Morocco,25,368,175,1,0,4,2,98,121,0,9,80,29500000
