Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Saudi Arabia,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Saudi Arabia,1. FIFA World Cup,GR,3,1,0,2,2,7,-5,3,"Salman Al-Faraj, Salem Al-Dawsari - 1","Mohammed Al-Owais, Abdullah Al-Mayouf...",
2006,Saudi Arabia,1. FIFA World Cup,GR,3,0,1,2,2,7,-5,1,Yasser Al-Qahtani - 1,Mabrouk Zaid,
2002,Saudi Arabia,1. FIFA World Cup,GR,3,0,0,3,0,12,-12,0,,Mohamed Al-Deayea,
1998,Saudi Arabia,1. FIFA World Cup,GR,3,0,1,2,2,7,-5,1,"Sami Al-Jaber, Yousuf Al-Thunayan - 1",Mohamed Al-Deayea,
1994,Saudi Arabia,1. FIFA World Cup,R16,4,2,0,2,5,6,-1,6,Fuad Anwar - 2,Mohamed Al-Deayea,
