Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Japan,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Japan,1. FIFA World Cup,R16,4,1,1,2,6,7,-1,4,Takashi Inui - 2,Eiji Kawashima,
2014,Japan,1. FIFA World Cup,GR,3,0,1,2,2,6,-4,1,"Shinji Okazaki, Keisuke Honda - 1",Eiji Kawashima,
2010,Japan,1. FIFA World Cup,R16,4,2,1,1,4,2,2,7,Keisuke Honda - 2,Eiji Kawashima,
2006,Japan,1. FIFA World Cup,GR,3,0,1,2,2,7,-5,1,"Shunsuke Nakamura, Keiji Tamada - 1",Yoshikatsu Kawaguchi,
2002,Japan,1. FIFA World Cup,R16,4,2,1,1,5,3,2,7,Junichi Inamoto - 2,Seigo Narazaki,
1998,Japan,1. FIFA World Cup,GR,3,0,0,3,1,4,-3,0,Masashi Nakayama - 1,Yoshikatsu Kawaguchi,
