Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Poland,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,Poland,1. FIFA World Cup,GR,3,1,0,2,2,5,-3,3,"Grzegorz Krychowiak, Jan Bednarek - 1",Wojciech Szczęsny,
2006,Poland,1. FIFA World Cup,GR,3,1,0,2,2,4,-2,3,Bartosz Bosacki - 2,Artur Boruc,
2002,Poland,1. FIFA World Cup,GR,3,1,0,2,3,7,-4,3,"Emmanuel Olisadebe, Marcin Żewłakow... - 1",Jerzy Dudek,
1986,Poland,1. FIFA World Cup,R16,4,1,1,2,1,7,-6,3,Włodzimierz Smolarek - 1,Józef Młynarczyk,
1982,Poland,1. FIFA World Cup,3rd,7,3,3,1,11,5,6,9,Zbigniew Boniek - 4,Józef Młynarczyk,
1978,Poland,1. FIFA World Cup,2R,6,3,1,2,6,6,0,7,"Zbigniew Boniek, Grzegorz Lato - 2",Jan Tomaszewski,
1974,Poland,1. FIFA World Cup,3rd,7,6,0,1,16,5,11,12,Grzegorz Lato - 7,Jan Tomaszewski,
1938,Poland,1. FIFA World Cup,R16,1,0,0,1,5,6,-1,0,Ernst Wilimowski - 4,Edward Madejski,
