Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,Cameroon,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2014,Cameroon,1. FIFA World Cup,GR,3,0,0,3,1,9,-8,0,Joël Matip - 1,Charles Itandje,
2010,Cameroon,1. FIFA World Cup,GR,3,0,0,3,2,5,-3,0,Samuel Eto'o - 2,Souleymanou Hamidou,
2002,Cameroon,1. FIFA World Cup,GR,3,1,1,1,2,3,-1,4,"Samuel Eto'o, Patrick M'Boma - 1",Alioum Boukar,
1998,Cameroon,1. FIFA World Cup,GR,3,0,2,1,2,5,-3,2,"Pierre Njanka, Patrick M'Boma - 1",Jacques Songo'o,
1994,Cameroon,1. FIFA World Cup,GR,3,0,1,2,3,11,-8,1,"Roger Milla, David Embé... - 1",Joseph-Antoine Bell,
1990,Cameroon,1. FIFA World Cup,QF,5,3,0,2,7,9,-2,6,Roger Milla - 4,Thomas N'Kono,
1982,Cameroon,1. FIFA World Cup,1R,3,0,3,0,1,1,0,3,Grégoire M'Bida - 1,Thomas N'Kono,
